fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,wine_type,quality
5.1,0.39,0.21,1.7,0.027,15.0,72.0,0.9894,3.5,0.45,12.5,white,6
10.4,0.472,0.368,3.16,0.092,27.0,70.5,0.99826,3.23,0.69,10.23,red,6
7.3,0.246,0.369,13.44,0.052,39.0,198.0,0.9984,3.02,0.46,8.93,white,7
6.4,0.23,0.49,6.09,0.031,30.5,124.5,0.99276,3.41,0.4,11.46,white,8
9.5,0.368,0.412,2.53,0.075,13.5,32.0,0.99853,3.33,0.73,10.05,red,6
8.7,0.521,0.844,3.48,0.527,29.0,62.5,0.99912,2.87,1.77,9.68,red,4
7.1,0.282,0.338,4.61,0.04,42.5,192.0,0.99261,3.29,0.48,12.05,white,6
6.8,0.81,0.05,2.0,0.07,6.0,14.0,0.99562,3.51,0.66,10.8,red,6
6.7,0.16,0.32,12.51,0.035,18.0,156.0,0.99666,2.88,0.36,9.0,white,6
8.8,0.45,0.43,1.4,0.076,12.0,21.0,0.99551,3.21,0.75,10.2,red,6
7.0,0.209,0.31,8.25,0.057,22.0,105.5,0.99549,2.97,0.56,9.44,white,5
8.8,0.267,0.412,1.62,0.045,14.0,114.0,0.99538,3.14,0.49,9.73,white,4
7.4,0.279,0.333,11.07,0.056,24.5,111.0,0.9967,3.14,0.37,9.45,white,5
8.8,0.282,0.435,9.79,0.033,31.5,123.5,0.99608,3.21,0.45,10.71,white,9
9.5,0.273,0.475,3.76,0.076,8.5,15.0,0.99436,3.21,0.53,12.42,red,7
6.3,0.286,0.253,2.97,0.039,24.0,118.5,0.9941,3.04,0.44,8.74,white,5
8.5,0.291,0.411,8.37,0.031,27.0,114.5,0.99522,3.25,0.5,10.89,white,9
7.5,0.14,0.34,1.3,0.055,50.0,153.0,0.9945,3.29,0.8,9.6,white,6
6.5,0.325,0.363,5.98,0.045,11.5,158.5,0.99544,3.22,0.43,9.16,white,4
6.5,0.288,0.283,3.87,0.036,36.5,95.5,0.99026,3.21,0.61,12.6,white,8
6.7,0.16,0.32,12.5,0.035,18.0,156.0,0.99666,2.88,0.36,9.0,white,6
6.9,0.209,0.313,13.59,0.05,75.0,165.0,0.99732,3.14,0.44,9.76,white,5
6.2,0.645,0.075,2.05,0.066,10.5,22.0,0.99443,3.57,0.59,11.97,red,5
7.3,0.342,0.362,5.45,0.021,51.5,120.0,0.99122,3.26,0.38,12.25,white,9
7.2,0.47,0.161,5.9,0.048,14.0,125.0,0.99429,3.09,0.49,9.8,white,5
6.5,0.28,0.29,2.7,0.038,26.0,107.0,0.9912,3.32,0.41,11.59,white,7
9.5,0.59,0.163,3.34,0.102,25.5,58.0,0.99944,3.28,0.69,9.69,red,5
6.4,0.301,0.38,7.82,0.046,35.0,192.0,0.9955,3.1,0.37,9.01,white,5
8.6,0.34,0.693,7.82,0.057,38.0,222.0,0.9948,3.05,0.6,12.23,red,7
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,red,5
6.1,0.232,0.289,1.85,0.035,31.0,101.0,0.99208,3.39,0.64,10.94,white,7
6.4,0.36,0.25,8.52,0.042,29.5,103.0,0.99256,2.99,0.32,11.3,white,6
7.9,0.458,0.392,2.96,0.077,11.0,25.5,0.99449,3.26,0.78,12.97,red,8
7.2,0.62,0.06,2.7,0.077,15.0,85.0,0.99746,3.51,0.54,9.5,red,5
7.2,0.24,0.376,13.64,0.054,42.0,196.0,0.99825,3.01,0.47,8.95,white,7
6.9,0.538,0.067,2.1,0.057,31.5,61.5,0.99285,3.48,0.77,13.22,red,8
7.2,0.311,0.323,1.59,0.046,24.5,180.0,0.99391,3.34,0.52,10.13,white,4
6.8,0.206,0.287,2.98,0.038,14.5,100.5,0.99277,3.23,0.57,10.4,white,8
9.4,0.637,0.264,2.38,0.082,23.0,143.5,0.9978,3.28,0.55,9.4,red,5
7.1,0.2,0.34,16.0,0.05,51.0,166.0,0.9985,3.21,0.6,9.2,white,6
8.1,0.17,0.44,14.09,0.053,43.0,145.0,1.00058,3.28,0.75,8.8,white,8
7.1,0.3,0.36,6.84,0.055,44.5,233.5,0.9972,3.49,0.64,10.2,white,6
